cellID,avg_intensity_dapi,nuclear_area,nuclear_perimeter,major_axis,minor_axis,axes_ratio,circularity,eccentricity,solidity,x_pos,y_pos,angle,imageID,avg_intensity_core_dapi,avg_intensity_internal_ring_dapi,avg_intensity_external_ring_dapi,total_intensity_core_dapi,total_intensity_internal_ring_dapi,total_intensity_external_ring_dapi,total_intensity_dapi,avg_intensity_beta3,total_intensity_beta3,avg_intensity_rfp,total_intensity_rfp,avg_intensity_ngn,total_intensity_ngn,beta3_x_rfp,beta3_x_ngn,rfp_x_ngn,beta3_x_rfp_x_ngn,dna_peaks,dna_dots,dna_dots_size_median,spatial_entropy,beta3_group,rfp_group,ngn_group
86,1611,133,44,16.3,10.4,0.637,0.842,0.771,0.981,1512,698,0.9054870933675949,Snap-120,1761,1378,415,2218685,1263287,431982,4146868,860,2214227,4024,10356571,3676,9461789,3460640,3161360,14792224,12721312640,17,20,0.9275220000000001,3.887,2,3,2
87,2049,104,38,13.7,9.7,0.708,0.882,0.707,0.981,1344,707,-0.3557190373900301,Snap-120,2522,1510,522,2335139,1150381,467808,4127931,784,1579114,1266,2551495,242,487900,992544,189728,306372,240195648,6,8,1.4685765000000002,3.728,2,1,1
88,1914,120,45,16.1,10.0,0.619,0.749,0.785,0.952,954,702,-1.5252211620418634,Snap-120,2227,1525,1062,2411502,1343261,1079686,4474931,736,1721058,887,2074692,225,526059,652832,165600,199575,146887200,9,8,1.9065730000000003,3.742,2,1,0
89,3144,125,43,15.2,10.5,0.694,0.856,0.72,0.976,1001,717,-0.6719491287926045,Snap-120,3581,2484,936,4290231,2141246,929149,7648716,740,1800502,835,2030390,221,538521,617900,163540,184535,136555900,10,10,0.5410545000000001,3.72,2,1,0
90,1550,144,45,15.7,11.7,0.744,0.886,0.668,0.983,627,724,1.0842711870796014,Snap-120,1841,1168,405,2383895,1062441,421209,4327774,827,2309079,1413,3944725,255,712382,1168551,210885,360315,297980505,9,10,1.8550440000000001,3.748,2,1,1
91,1760,119,45,18.5,8.2,0.446,0.743,0.895,0.976,1595,729,-0.8342003808867983,Snap-120,1900,1550,446,1823801,1463295,482067,4072975,1081,2501633,1698,3928359,262,605760,1835538,283222,444876,480910956,11,8,0.7986995000000001,3.731,3,2,1
92,1799,120,41,14.7,10.4,0.708,0.882,0.706,0.979,1050,738,-1.1628216973090673,Snap-120,2077,1396,498,2399385,1148800,473628,4195207,768,1790534,737,1717785,224,522432,566016,172032,165088,126787584,13,12,1.5201055,3.807,2,1,0
93,1739,123,42,13.4,11.7,0.877,0.89,0.481,0.978,1715,754,-1.5535153510352577,Snap-120,1936,1426,433,2004271,1175242,418667,4138083,759,1806670,676,1607975,223,530520,513084,169257,150748,114417732,11,10,1.0563445,3.831,2,1,0
94,2513,79,34,12.7,7.9,0.626,0.854,0.78,0.975,1642,753,-1.1932898701438044,Snap-120,3139,1812,517,2278608,1201520,413572,3846777,808,1236294,880,1347828,225,343930,711040,181800,198000,159984000,7,7,0.7214060000000001,3.712,2,1,0
95,1668,130,42,13.6,12.2,0.898,0.907,0.441,0.981,1516,776,1.4128504203166403,Snap-120,1802,1421,413,2061482,1199106,402847,4214180,880,2223250,3960,10002478,3610,9119310,3484800,3176800,14295600,12580128000,15,16,1.0048155,3.85,2,3,2
96,1667,129,43,14.4,11.4,0.788,0.877,0.615,0.977,1822,776,0.99568119583089,Snap-120,1865,1435,439,2068603,1217962,435433,4156437,757,1888561,638,1591125,208,518551,482966,157456,132704,100456928,15,14,1.54587,3.839,2,0,0
97,1321,178,50,15.7,14.5,0.925,0.905,0.381,0.981,62,785,-1.2807719021149855,Snap-120,1546,1050,381,2488349,1045478,430313,4571955,560,1937948,708,2449893,231,798869,396480,129360,163548,91586880,13,11,2.009631,3.739,1,1,0
