"cellID","avg_intensity_dapi","nuclear_area","nuclear_perimeter","major_axis","minor_axis","axes_ratio","circularity","eccentricity","solidity","x_pos","y_pos","angle","imageID","avg_intensity_core_dapi","avg_intensity_internal_ring_dapi","avg_intensity_external_ring_dapi","total_intensity_core_dapi","total_intensity_internal_ring_dapi","total_intensity_external_ring_dapi","total_intensity_dapi","avg_intensity_beta3","total_intensity_beta3","avg_intensity_rfp","total_intensity_rfp","avg_intensity_ngn2","total_intensity_ngn2","dna_peaks","dna_dots","dna_dots_size_median","spatial_entropy","beta3_group","rfp_group","ngn2_group","experiment","path2ong"
81,2346,96,38,13.5,9.1,0.673,0.831,0.74,0.965,1706,1107,-0.692059421,"Snap-324",2825,1701,483,2282806,1255596,421311,4357100,1012,1879524,14796,27476021,10788,20032617,4,4,2.679508,3.743,2,5,4,"Day1","test"
16,1916,125,42,14,11.4,0.816,0.889,0.579,0.979,769,480,-1.554434475,"Snap-325",2322,1336,492,2491363,1110376,472470,4660011,1351,3284592,7000,17023652,793,1927726,9,11,1.597399,3.749,3,4,2,"Day1","test"
31,1430,170,53,20.7,10.6,0.51,0.772,0.86,0.98,608,589,1.283384092,"Snap-326",1523,1232,374,2390352,1292035,441194,4730115,831,2747095,7281,24079515,13670,45206830,16,13,1.082109,3.783,2,4,5,"Day1","test"
79,1968,118,42,13.6,11.2,0.821,0.85,0.571,0.973,1514,964,1.494172464,"Snap-326",2228,1632,1024,2508493,1341119,991872,4523131,1089,2502955,6345,14581007,3847,8840522,11,9,1.442812,3.785,2,4,3,"Day1","test"
5,1897,122,47,18.7,8.5,0.453,0.705,0.891,0.951,417,148,1.097904614,"Snap-327",2282,1476,794,2361841,1376969,858848,4506338,1826,4336428,6978,16573372,4344,10316691,10,7,1.54587,3.776,3,4,3,"Day1","test"
8,1823,128,43,14.7,11.1,0.755,0.877,0.656,0.978,554,209,1.003379837,"Snap-327",2034,1414,395,2238973,1204575,392498,4545022,994,2477152,8965,22350142,11350,28295942,10,10,1.288225,3.84,2,5,4,"Day1","test"
43,4217,79,35,10.5,10.1,0.962,0.803,0.273,0.943,1785,1085,-0.275783448,"Snap-327",4942,3415,1955,3607433,2257319,1538345,6455988,2426,3714413,12177,18643621,6140,9401034,6,4,0.5925835,3.629,4,5,4,"Day1","test"
4,1939,114,40,13.8,10.5,0.762,0.894,0.647,0.984,235,355,0.606577413,"Snap-329",2113,1657,560,2275912,1304064,511469,4273844,1088,2397325,10142,22351981,13739,30279957,9,8,1.391283,3.795,3,5,5,"Day1","test"
12,1996,113,43,17.1,8.4,0.492,0.778,0.87,0.979,1711,581,-1.454442193,"Snap-329",2251,1664,516,2275806,1368010,488860,4371354,1558,3412440,4342,9509510,10208,22355628,7,6,2.1384535,3.687,3,4,4,"Day1","test"
26,1513,64,30,9.3,8.9,0.955,0.88,0.297,0.965,544,1042,0.859162938,"Snap-329",1678,1351,1030,932745,779440,741769,1892747,2251,2816305,4394,5497129,514,642964,5,2,2.7568015,3.634,4,4,2,"Day1","test"
33,1886,118,41,14,10.8,0.776,0.88,0.63,0.982,333,1188,0.54672712,"Snap-345",2108,1526,661,2415729,1231155,613612,4335201,1615,3712387,7115,16356505,6612,15200970,12,5,1.133638,3.728,3,4,4,"Day1","test"
